name,discount_in_percent,price_in_brl,rating_in_percent,end_time_in_seconds,start_time_in_second,release_time_in_second
Dangerous Waters,75,13.99,71.68,1636999200,1635787953,1139270400
Space Empires IV Deluxe,80,3.99,76.56,1636999200,1635442626,1139270400
Jagged Alliance 2 Gold,90,3.69,-1.0,1636999200,1635442626,1152144000
Disciples II: Rise of the Elves,80,2.79,80.36,1637604000,1636394797,1152144000
Space Empires V,80,5.59,66.23,1636999200,1635442626,1160956800
Dark Messiah of Might & Magic,75,7.49,89.36,1636912800,1636394797,1161734400
Shadowgrounds,80,2.39,76.83,1636999200,1635442626,1147046400
Gumboy - Crazy Adventures™,50,5.24,50.67,1636999200,1636394797,1166486400
688(I) Hunter/Killer,75,13.99,71.03,1636999200,1635786902,867974400
Fleet Command,75,13.99,78.02,1636999200,1635788831,926726400
Sub Command,75,13.99,69.99,1636999200,1635788069,1001894400
FlatOut 2™,80,3.39,92.85,1637604000,1635847559,1154390400
Call of Juarez,75,7.49,77.62,1636999200,1635872717,1181606400
Safecracker: The Ultimate Puzzle Adventure,80,1.69,56.36,1636999200,1636394797,1154476800
FlatOut,80,2.59,88.95,1637604000,1635847518,1121126400
BioShock Infinite,75,22.49,93.86,1637604000,1636485003,1364169600
The UnderGarden,75,3.49,61.09,1636999200,1636394796,1289347200
Shadowgrounds Survivor,80,3.99,57.88,1636999200,1635442626,1194998400
Gumboy Tournament,50,2.49,67.13,1636999200,1636394796,1211155200
Penguins Arena: Sedna's World,90,1.19,84.69,1636999200,1636394796,1229558400
Darkstar One,80,3.99,76.84,1636999200,1635442626,1155513600
FlatOut: Ultimate Carnage,80,6.99,82.82,1637604000,1635847565,1219104000
Port Royale 2,80,1.69,65.93,1636999200,1635442626,1083283200
Heroes of Might & Magic V,75,7.49,84.25,1636912800,1636394796,1148342400
Heroes of Might & Magic V: Tribes of the East,75,7.49,88.61,1636912800,1636394796,1192492800
Heroes of Might & Magic V: Hammers of Fate,75,7.49,78.77,1636912800,1636394796,1163462400
Insecticide Part 1,80,1.29,69.94,1636999200,1636394797,1214524800
Velvet Assassin,80,2.17,59.55,1636999200,1636394797,1241136000
Legendary,80,2.17,53.39,1636999200,1636394797,1228089600
Nuclear Dawn,90,1.99,75.88,1636999200,1636394797,1316995200
Call of Juarez: Bound in Blood,75,4.99,81.9,1636999200,1635872717,1246320000
Alien Breed: Impact,80,3.39,70.63,1636999200,1636394797,1275523200
Alien Breed 2: Assault,80,3.99,65.93,1636999200,1636394797,1285113600
Alien Breed 3: Descent,80,3.99,68.9,1636999200,1636394797,1289952000
Grand Ages: Rome,50,19.5,70.16,1636999200,1636394797,1237507200
Ceville,86,1.21,74.3,1636740000,1636182314,1235692800
Crusaders: Thy Kingdom Come,75,4.24,56.94,1636999200,1636394797,1254960000
King Arthur: Fallen Champions,50,4.49,40.32,1636999200,1636394797,1316131200
Twin Sector,50,5.24,38.71,1636999200,1636394798,1253059200
Booster Trooper,50,2.24,49.18,1636999200,1636394798,1271376000
Dead Horde,60,4.95,35.54,1636999200,1636394798,1311724800
Restaurant Empire II,70,10.49,68.8,1637085600,1635872719,1243382400
The Great Art Race,89,1.15,66.12,1636740000,1636182568,0
Bad Rats: the Rats' Revenge,47,1.16,77.1,1637604000,1636394798,1248048000
Trine Enchanted Edition,75,6.99,93.12,1636999200,1635442627,1246492800
Trine 2: Complete Story,75,7.49,93.35,1636999200,1635442627,1370476800
Roogoo,80,1.29,75.34,1636999200,1636394798,1261008000
Gothic® 3,75,4.24,80.44,1636999200,1636394798,1160697600
Gothic II: Gold Edition,75,4.24,88.99,1636999200,1636394798,1133222400
ArcaniA,75,8.74,53.65,1636999200,1636394798,1287100800
Risen,75,4.24,85.89,1636999200,1636394798,1256860800
Risen 2: Dark Waters,75,4.24,77.01,1636999200,1636394798,1335398400
AI War: Fleet Command,75,4.99,79.31,1636999200,1635789866,1256083200
Tidalis,75,2.62,62.78,1636999200,1635789866,1279238400
World of Zoo,80,4.99,74.66,1636999200,1636394798,1256860800
Greed: Black Border,80,2.09,43.11,1637172000,1636394798,1263340800
Future Wars,80,2.09,33.47,1637172000,1636394798,1270598400
